algorithm,type,timestamp,mazeSize,time,pathLength,backtracks,cellsExplored,totalCells,efficiency,deadEnds,junctions,corridorLength,manhattanEfficiency,pathFound
Recursive Backtracking,generator,2026-01-18T11:18:02.012Z,10x10,0.775800000011921,,,,,,10,8,1.894736842105263,0,
Recursive DFS,solver,2026-01-18T11:18:02.425Z,10x10,0.28509999996423724,59,6,65,100,90.76923076923077,10,8,1.894736842105263,3.2777777777777777,
Recursive Backtracking,generator,2026-01-18T11:18:03.250Z,10x10,0.7971000000238418,,,,,,12,10,1.826086956521739,0,
Recursive DFS,solver,2026-01-18T11:18:03.741Z,10x10,0.3811999999880791,61,17,78,100,78.2051282051282,12,10,1.826086956521739,3.388888888888889,
Recursive Backtracking,generator,2026-01-18T11:18:04.570Z,10x10,0.7975999999642372,,,,,,12,10,1.1304347826086956,0,
Recursive DFS,solver,2026-01-18T11:18:04.821Z,10x10,0.14139999997615815,33,1,34,100,97.05882352941177,12,10,1.1304347826086956,1.8333333333333333,
Recursive Backtracking,generator,2026-01-18T11:18:05.640Z,10x10,0.7971000000238418,,,,,,10,8,1.368421052631579,0,
Recursive DFS,solver,2026-01-18T11:18:06.366Z,10x10,0.6208999999761582,41,57,98,100,41.83673469387755,10,8,1.368421052631579,2.2777777777777777,
Recursive Backtracking,generator,2026-01-18T11:18:07.207Z,10x10,0.796699999988079,,,,,,13,10,1.0833333333333333,0,
Recursive DFS,solver,2026-01-18T11:18:07.528Z,10x10,0.21410000002384186,53,0,53,100,100,13,10,1.0833333333333333,2.9444444444444446,
Recursive Backtracking,generator,2026-01-18T11:18:08.326Z,10x10,0.7968999999761581,,,,,,12,10,1.7391304347826086,0,
Wall Follower,solver,2026-01-18T11:18:08.884Z,10x10,0.4535,56,0,84,100,66.66666666666666,12,10,1.7391304347826086,3.111111111111111,
Recursive Backtracking,generator,2026-01-18T11:18:09.688Z,10x10,0.7965,,,,,,12,10,1.3478260869565217,0,
Wall Follower,solver,2026-01-18T11:18:09.958Z,10x10,0.157,34,0,36,100,94.44444444444444,12,10,1.3478260869565217,1.8888888888888888,
Recursive Backtracking,generator,2026-01-18T11:18:10.762Z,10x10,0.7971999999880791,,,,,,13,11,1.32,0,
Wall Follower,solver,2026-01-18T11:18:11.080Z,10x10,0.21220000004768372,50,0,51,100,98.0392156862745,13,11,1.32,2.7777777777777777,
Recursive Backtracking,generator,2026-01-18T11:18:11.877Z,10x10,0.7965999999642372,,,,,,11,9,1.4761904761904763,0,
Wall Follower,solver,2026-01-18T11:18:12.256Z,10x10,0.2684000000357628,38,0,52,100,73.07692307692307,11,9,1.4761904761904763,2.111111111111111,
Recursive Backtracking,generator,2026-01-18T11:18:13.098Z,10x10,0.7970999999642372,,,,,,12,10,1.6521739130434783,0,
Wall Follower,solver,2026-01-18T11:18:13.320Z,10x10,0.11619999998807908,26,0,27,100,96.29629629629629,12,10,1.6521739130434783,1.4444444444444444,
Recursive Backtracking,generator,2026-01-18T11:18:14.167Z,10x10,0.797800000011921,,,,,,17,14,0.75,0,
Dijkstra,solver,2026-01-18T11:18:14.447Z,10x10,0.1735,41,,43,100,95.34883720930233,17,14,0.75,2.2777777777777777,
Recursive Backtracking,generator,2026-01-18T11:18:15.285Z,10x10,0.797,,,,,,14,12,1,0,
Dijkstra,solver,2026-01-18T11:18:15.719Z,10x10,0.3205,45,,80,100,56.25,14,12,1,2.5,
Recursive Backtracking,generator,2026-01-18T11:18:16.556Z,10x10,0.797,,,,,,13,11,1.44,0,
Dijkstra,solver,2026-01-18T11:18:16.930Z,10x10,0.26060000002384187,49,,65,100,75.38461538461539,13,11,1.44,2.7222222222222223,
Recursive Backtracking,generator,2026-01-18T11:18:17.727Z,10x10,0.7969000000357628,,,,,,14,12,1.1481481481481481,0,
Dijkstra,solver,2026-01-18T11:18:18.008Z,10x10,0.17319999998807908,37,,43,100,86.04651162790698,14,12,1.1481481481481481,2.0555555555555554,
Recursive Backtracking,generator,2026-01-18T11:18:18.847Z,10x10,0.7967000000476837,,,,,,15,13,0.8275862068965517,0,
