algorithm,type,timestamp,mazeSize,time,pathLength,backtracks,cellsExplored,totalCells,efficiency,deadEnds,junctions,corridorLength,manhattanEfficiency,pathFound
Recursive Backtracking,generator,2026-01-18T11:28:50.616Z,30x30,7.176399999976158,,,,,,97,92,1.5210526315789474,0,
Recursive DFS,solver,2026-01-18T11:28:53.583Z,30x30,2.841699999988079,433,135,568,900,76.23239436619718,97,92,1.5210526315789474,7.4655172413793105,
Recursive Backtracking,generator,2026-01-18T11:29:00.816Z,30x30,7.212800000011921,,,,,,94,89,1.5869565217391304,0,
Recursive DFS,solver,2026-01-18T11:29:04.367Z,30x30,3.361,539,147,686,900,78.57142857142857,94,89,1.5869565217391304,9.293103448275861,
Recursive Backtracking,generator,2026-01-18T11:29:11.580Z,30x30,7.208599999964237,,,,,,94,90,1.3945945945945946,0,
Recursive DFS,solver,2026-01-18T11:29:16.543Z,30x30,4.769199999988079,293,443,736,900,39.809782608695656,94,90,1.3945945945945946,5.051724137931035,
Recursive Backtracking,generator,2026-01-18T11:29:23.807Z,30x30,7.217100000023842,,,,,,85,82,1.7202380952380953,0,
Recursive DFS,solver,2026-01-18T11:29:29.299Z,30x30,5.308599999964237,347,482,829,900,41.857659831121836,85,82,1.7202380952380953,5.982758620689655,
Recursive Backtracking,generator,2026-01-18T11:29:36.528Z,30x30,7.225699999988079,,,,,,95,90,1.446236559139785,0,
Recursive DFS,solver,2026-01-18T11:29:41.486Z,30x30,4.781299999952316,247,469,716,900,34.497206703910614,95,90,1.446236559139785,4.258620689655173,
Recursive Backtracking,generator,2026-01-18T11:29:48.714Z,30x30,7.197,,,,,,94,92,1.5026737967914439,0,
Wall Follower,solver,2026-01-18T11:29:51.507Z,30x30,2.688699999988079,400,0,534,900,74.90636704119851,94,92,1.5026737967914439,6.896551724137931,
Recursive Backtracking,generator,2026-01-18T11:29:58.735Z,30x30,7.204900000035763,,,,,,95,92,1.4042553191489362,0,
Wall Follower,solver,2026-01-18T11:30:02.279Z,30x30,3.3453999999761583,298,0,563,900,52.93072824156305,95,92,1.4042553191489362,5.137931034482759,
Recursive Backtracking,generator,2026-01-18T11:30:09.513Z,30x30,7.217099999964237,,,,,,92,89,1.4945054945054945,0,
Wall Follower,solver,2026-01-18T11:30:14.612Z,30x30,4.911199999988079,372,0,791,900,47.02907711757269,92,89,1.4945054945054945,6.413793103448276,
Recursive Backtracking,generator,2026-01-18T11:30:21.815Z,30x30,7.202300000011921,,,,,,94,92,1.5401069518716577,0,
Wall Follower,solver,2026-01-18T11:30:26.873Z,30x30,4.956300000011921,312,0,769,900,40.572171651495445,94,92,1.5401069518716577,5.379310344827586,
